23;Le facteur temps ne sonne jamais deux fois (Champs sciences)(French Edition);Book ;ISBN: 2081391562ISBN_13: 9782081391567;FR16089B5;2;Main
24;Il Çtait sept fois la rÇvolution: Albert Einstein et les autres...(Champs sciences (829));Book ;ISBN: 208121895XISBN_13: 9782081218956;HP20017B8;1;Main
25;Science et l'hypothäse (nc) (La) (CHAMPS SCIENCES) ;Book ;ISBN: 2081229056ISBN_13: 9782081229051;FR16184B5;1;Main
26;Discours sur l'origine de l'univers (Champs sciences) (FrenchEdition);Book ;ISBN: 2081391570ISBN_13: 9782081391574;FR16040B5;1;Main
? 04/06/2025 23:47 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies 2/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
27;La Science et l'hypothäse (Champs sciences) ;Book ;ISBN: 208133674XISBN_13: 9782081336742;SH18021B6;1;Main
28;Physique, Philosophie, Politique (Points sciences) (FrenchEdition);Book ;ISBN: 2020396580ISBN_13: 9782020396585;PH 1875B1;1;Main
29;Le Nom de la Rose (Ldp Litterature) (French Edition) ;Book ;ISBN: 2253033138ISBN_13: 9782253033134;FR16098B5;1;Main
30;êtudes d'histoire de la pensÇe scientifique (Tel) (FrenchEdition);Book ;ISBN: 2070703355ISBN_13: 9782070703357;HP20008B8;1;Main
31;La complexitÇ, vertiges et promesses - Poche (POCHE - LePommier) (French Edition);Book ;ISBN: 274650703XISBN_13: 9782746507036;FR16060B5;2;Main
32;L'atome au pied du mur - Nouvelle Çdition: et autres nouvelles(Romans & Plus) (French Edition);Book ;ISBN: 2746504561ISBN_13: 9782746504561;FR16080B5;1;Main
33;Les Combustibles (Le Livre de Poche) (French Edition) ;Book ;ISBN: 2253139467ISBN_13: 9782253139461;FR16124B5;1;Main
34;L'ecriture et la difference ( French Edition) (Points essais) ;Book ;ISBN: 2757841718ISBN_13: 9782757841716;FR16113B5;1;Main
35;Sans Feu Ni Lieu (Nouveau Policier) (French Edition) ;Book ;ISBN: 2290353353ISBN_13: 9782290353356;FR16182B5;1;Main
36;Give & Take ;Book ;ISBN: 1780224729ISBN_13: 9781780224725;DP19017B7;1;Main
37;Le facteur temps ne sonne jamais deux fois (Champs sciences(942));Book ;ISBN: 2081220229ISBN_13: 9782081220225;FR16088B5;1;Main
38;Les visages de l'ombre (Folio policier) (French Edition) ;Book ;ISBN: 2070463591ISBN_13: 9782070463596;FR16139B5;1;Main
39;Cessez d'àtre gentil, soyez vrai! (edition illustree) (FrenchEdition);Book ;ISBN: 2761938828ISBN_13: 9782761938822;DP19006B7;1;Main
? 04/06/2025 23:47 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies 3/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
40;Debout les Morts (Nouveau Policier) (French Edition) ;Book ;ISBN: 229035130XISBN_13: 9782290351307;FR16032B5;1;Main
41;Un cerveau pour changer (Evol - dev't personnel) (FrenchEdition);Book ;ISBN: 2266175998ISBN_13: 9782266175999;DP19087B7;1;Main
42;Pars Vite Et Reviens Tard (Nouveau Policier) (French Edition) ;Book ;ISBN: 2290349313ISBN_13: 9782290349311;FR16168B5;1;Main
43;Les Noces fabuleuses du Polonais (Best) (French Edition) ;Book ;ISBN: 2266267299ISBN_13: 9782266267298;FR16136B5;1;Main
44;Les Noces fabuleuses du Polonais (Best) (French Edition) ;Book ;ISBN: 2266267299ISBN_13: 9782266267298;FR16136B5;2;Main
45;Les Noces fabuleuses du Polonais (Best) (French Edition) ;Book ;ISBN: 2266267299ISBN_13: 9782266267298;FR16136B5;3;Main
46;Les Noces fabuleuses du Polonais (Best) (French Edition) ;Book ;ISBN: 2266267299ISBN_13: 9782266267298;FR16136B5;4;Main
47;Les Identites Meurtrieres (Ldp Litterature) (French Edition) ;Book ;ISBN: 2253150053ISBN_13: 9782253150053;FR16133B5;1;Main
48;Voyage Au Bout De LA Nuit (Folio) (French Edition) (Folio S.) ;Book ;ISBN: 2070360288ISBN_13: 9782070360284;FR16198B5;1;Main
49;êtudes d'histoire de la pensÇe philosophique (Tel) (FrenchEdition);Book ;ISBN: 2070239810ISBN_13: 9782070239818;HP20007B8;1;Main
50;Les Fräres Karamazov (Folio (Gallimard)) (French Edition) ;Book ;ISBN: 2070389626ISBN_13: 9782070389629;FR16131B5;1;Main
51;Contre-histoire de la philosophie tome 8 : Les FreudienshÇrÇtiques: Contre-histoire de la philosophie t.8 (Contrehistoire de la philosophie (8)) (French Edition);Book ;ISBN: 2253156515ISBN_13: 9782253156512;PI 21003B8;1;Main
52;Les grands (L'arbaläte/Gallimard) (French Edition) ;Book ;ISBN: 2070146448ISBN_13: 9782070146444;FR16132B5;1;Main
? 04/06/2025 23:47 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies 4/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
53;Germinal ;Book ;ISBN: 2070411427ISBN_13: 9782070411429;FR16050B5;1;Main
54;Le Rouge Et Le Noir ;Book ;ISBN: 2253006203ISBN_13: 9782253006206;FR16109B5;1;Main
55;Le Monde De Sophie: Roman Sur L'histoire De La Philosophie(Points (Editions Du Seuil)) (French Edition);Book ;ISBN: 2020550768ISBN_13: 9782020550765;FR16097B5;1;Main
56;Crime Et Chatiment (Ldp Classiques) (French Edition) ;Book ;ISBN: 2253082503ISBN_13: 9782253082507;FR16028B5;1;Main
57;Le Souffle de la hyäne (L'Autre, Tome 1) (L'Autre (1)) (FrenchEdition);Book ;ISBN: 2253159921ISBN_13: 9782253159926;FR16110B5;1;Main
58;Les Noces fabuleuses du Polonais (Best) (French Edition) ;Book ;ISBN: 2266267299ISBN_13: 9782266267298;FR16136B5;5;Main
59;le temps existe-t-il ;Book ;ISBN: 2746500183ISBN_13: 9782746500181;PI 21012B8;1;Main
60;Histoire De La Folie a L'age Classique (Tel) (French Edition) ;Book ;ISBN: 2070295826ISBN_13: 9782070295821;HP20012B8;1;Main
61;Il Çtait sept fois la rÇvolution: Albert Einstein et les autres(Histoire) (French Edition);Book ;ISBN: 2082103439ISBN_13: 9782082103435;HP20016B8;1;Main
62;7: Romans (Blanche) (French Edition) ;Book ;ISBN: 2070149889ISBN_13: 9782070149889;FR16005B5;1;Main
63;Le vrai roman des particules ÇlÇmentaires (Quai des Sciences)(French Edition);Book ;ISBN: 2100547895ISBN_13: 9782100547890;FR16112B5;1;Main
64;Economic and Financial Decisions under Risk ;Book ;ISBN: 0691122156ISBN_13: 9780691122151;EF 10003B3;1;Main
65;Economic and Financial Decisions under Risk ;Book ;ISBN: 0691122156ISBN_13: 9780691122151;EF 10003B3;2;Main
? 04/06/2025 23:47 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies 5/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
66;Le Ravissement De Lol V. Stein ;Book ;ISBN: 2070368106ISBN_13: 9782070368105;FR16108B5;1;Main
67;Pantagruel (Folio Classique) (French Edition) ;Book ;ISBN: 2070363872ISBN_13: 9782070363872;FR16165B5;1;Main
68;Mon cours d'economie ideal (Champs actuel) (French Edition) ;Book ;ISBN: 2081375680ISBN_13: 9782081375680;EF 10018B3;1;Main
69;La vieille dame du riad (Best) (French Edition) ;Book ;ISBN: 2266227262ISBN_13: 9782266227261;FR16076B5;1;Main
70;Les Identites Meurtrieres (Ldp Litterature) (French Edition) ;Book ;ISBN: 2253150053ISBN_13: 9782253150053;FR16133B5;2;Main
71;Le Maåtre des tempàtes (L'Autre, Tome 2) (L'Autre (2)) (FrenchEdition);Book ;ISBN: 2253159980ISBN_13: 9782253159988;FR16096B5;1;Main
72;INTRODUCTION ∑ L'êCONOMêTRIE - 2‘ME êDITION (PRêCISDOMAT);Book ;ISBN: 2707613983ISBN_13: 9782707613981;EF 10012B3;1;Main
73;HBR'S 10 Must Reads: The Essentials ;Book ;ISBN: 1422133443ISBN_13: 9781422133446;DP19021B7;1;Main
74;Taste and Other Tales READERS (READERS NIVEAU 4) (FrenchEdition);Book ;ISBN: 1405882549ISBN_13: 9781405882545;LA 17068B5;1;Main
75;Darwin Ö la plage - L'Çvolution dans un transat: L'Çvolutiondans un transat (A la plage) (French Edition);Book ;ISBN: 2100758594ISBN_13: 9782100758593;FR16031B5;1;Main
76;La science selon Henri PoincarÇ: La science et l'hypothäse - Lavaleur de la science - Science et mÇthode (IDEM) (FrenchEdition);Book ;ISBN: 2100702343ISBN_13: 9782100702343;SH18022B6;1;Main
77;Introduction Ö la mÇthode des ÇlÇments finis - 2e Çd - Cours etexercices corrigÇs: Cours et exercices corrigÇs (Sciences Sup)(French Edition);Book ;ISBN: 2100742620ISBN_13: 9782100742622;MA 6042B3;1;Main
78;Choose Yourself! ;Book ;ISBN: 1490313370ISBN_13: 9781490313375;DP19007B7;1;Main
? 04/06/2025 23:47 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies 6/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
79;How to Get Filthy Rich in Rising Asia ;Book ;ISBN: 0241144671ISBN_13: 9780241144671;DP19023B7;1;Main
80;Conception des bases de donnÇes relationnelles(Informatique pro: En pratique) (French Edition);Book ;ISBN: 2711786781ISBN_13: 9782711786787;IT 8006B3;1;Main
81;Papier machine le ruban de machine Ö Çcrire et autresrÇponses (GALILEE);Book ;ISBN: 2718605537ISBN_13: 9782718605531;FR16167B5;1;Main
82;Lean In EXPORT EDITION ;Book ;ISBN: 0753555808ISBN_13: 9780753555804;DP19042B7;1;Main
83;Quiet: The Power of Introverts in a World That Can't StopTalking;Book ;ISBN: 0141029196ISBN_13: 9780141029191;DP19066B7;1;Main
84;The Big Book of Simulation Modeling: Multimethod Modelingwith Anylogic 6;Book ;ISBN: 0989573176ISBN_13: 9780989573177;GI 12022B4;1;Main
85;Initiation Ö l?analyse complexe - Cours et exercices corrigÇs(RÇfÇrences sciences);Book ;ISBN: 2340002133ISBN_13: 9782340002135;MA 6040B3;1;Main
86;Liberez votre creativite (French Edition) ;Book ;ISBN: 2290355089ISBN_13: 9782290355084;DP19050B7;1;Main
87;La Bete et la Belle (Folio policier) (French Edition) ;Book ;ISBN: 2070793583ISBN_13: 9782070793587;FR16056B5;1;Main
88;Moloch ;Book ;ISBN: 2070417220ISBN_13: 9782070417223;LA 17052B5;1;Main
89;Le Principe LOL2A: ou La perfection du monde (Bien-àtre(10665)) (French Edition);Book ;ISBN: 2290086142ISBN_13: 9782290086148;DP19040B7;1;Main
90;Comment Se Faire Des Amis (Le Livre de Poche) (FrenchEdition);Book ;ISBN: 2253009105ISBN_13: 9782253009108;DP19010B7;1;Main
91;EugÇnie Grandet (French Edition) ;Book ;ISBN: 2070465586ISBN_13: 9782070465583;FR16044B5;1;Main
? 04/06/2025 23:47 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies 7/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
92;Les Noces fabuleuses du Polonais (Best) (French Edition) ;Book ;ISBN: 2266267299ISBN_13: 9782266267298;FR16136B5;6;Main
93;The Goal ;Book ;ISBN: 0566086654ISBN_13: 9780566086656;DP19082B7;1;Main
94;Peak: How Great Companies Get Their Mojo from Maslow ;Book ;ISBN: 0787988618ISBN_13: 9780787988616;DP19061B7;1;Main
95;Crossing the Unknown Sea: Work as a Pilgrimage of Identity ;Book ;ISBN: 1573229148ISBN_13: 9781573229142;DP19012B7;1;Main
96;Stupeur Et Tremblements ;Book ;ISBN: 2253150711ISBN_13: 9782253150718;FR16188B5;1;Main
97;How Will You Measure Your Life? ;Book ;ISBN: 0007449151ISBN_13: 9780007449156;DP19025B7;1;Main
98;L5: World Folk Tales (2nd Edition) (Penguin Readers (GradedReaders));Book ;ISBN: 1405862521ISBN_13: 9781405862523;LA 17035B5;1;Main
99;Spectral Methods for Axisymmetric Domains ;Book ;ISBN: 2842990706ISBN_13: 9782842990701;MA 6078B3;1;Main
? Page 1 of 20, showing 100 records out of 1942 total, starting on record 1, ending on 100;;;;;;
;;;;;;
04/06/2025 23:47 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies 8/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
100;TêLêCOMMUNICATIONS - RÇseaux informatiques - AdressageIP, modäle OSI, Çthernet, VLAN, routage. Cours et exercicescorrigÇs (niveau A) (Technosup);Book ;ISBN: 2340007801ISBN_13: 9782340007802;IT 8021B3;1;Main
101;Ordinary Differential Equations (Universitext) ;Book ;ISBN: 3540345639ISBN_13: 9783540345633;MA 6065B3;1;Main
102;ECONOMIE INTERNATIONALE 9E (ECO GESTION) (FrenchEdition);Book ;ISBN: 2326000137ISBN_13: 9782326000131;EF 10006B3;2;Main
103;La science selon Henri PoincarÇ: La science et l'hypothäse - Lavaleur de la science - Science et mÇthode (IDEM) (FrenchEdition);Book ;ISBN: 2100702343ISBN_13: 9782100702343;SH18022B6;2;Main
104;Theory of Shells (Volume 3) (Mathematical Elasticity (Volume3));Book ;ISBN: 0444828915ISBN_13: 9780444828910;PH 262B1;1;Main
105;LHC : le boson de Higgs (Le Colläge) (French Edition) ;Book ;ISBN: 2746506777ISBN_13: 9782746506770;SH18031B6;1;Main
106;Les lois du chaos (Champs sciences (792)) (French Edition) ;Book ;ISBN: 2081214873ISBN_13: 9782081214873;FR16135B5;1;Main
107;La Science et l'hypothäse (Champs sciences) ;Book ;ISBN: 208133674XISBN_13: 9782081336742;SH18021B6;2;Main
108;Fractales, hasard et finance (Champs sciences (904)) (FrenchEdition);Book ;ISBN: 2081225107ISBN_13: 9782081225107;EF 10011B3;1;Main
109;Les Tactiques de Chronos (Champs sciences (877)) (FrenchEdition);Book ;ISBN: 2081223058ISBN_13: 9782081223059;PI 21014B8;1;Main
110;1Q84 - Livre 2 (2) (LittÇrature Çtrangäre) (French Edition) ;Book ;ISBN: 2264057890ISBN_13: 9782264057891;FR16003B5;1;Main
111;The Physics of Low-dimensional Semiconductors: AnIntroduction;Book ;ISBN: 0602314100ISBN_13: 9780521484916;PH 1441B1;1;Main
? Report: All Copies ? May 6, 2025 - June 4, 2025 ?;;;;;;
;;;;;;
04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:2 1/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
112;Lectures On Phase Transitions And The RenormalizationGroup (Frontiers in Physics);Book ;ISBN: 0201554097ISBN_13: 9780201554090;DM27044B9;1;Main
113;La Boåte Ö outils de mon parcours professionnel (BÖO La BoåteÖ Outils) (French Edition);Book ;ISBN: 2100743155ISBN_13: 9782100743155;DP19032B7;1;Main
114;Apprendre Ö programmer avec Python 3 (Noire) (FrenchEdition);Book ;ISBN: 2212134347ISBN_13: 9782212134346;IT 8004B3;1;Main
115;Le must de l innovation (LES CAHIERS HARVARD) (FrenchEdition);Book ;ISBN: 2810422672ISBN_13: 9782810422678;BU14003B4;1;Main
116;El plan de marketing en la pr†ctica (Libros profesionales)(Spanish Edition);Book ;ISBN: 8473565703ISBN_13: 9788473565707;MK 15003B4;1;Main
117;Fundamentos y tÇcnicas de investigaci¢n comercial (Librosprofesionales) (Spanish Edition);Book ;ISBN: 8473565916ISBN_13: 9788473565912;BU14010B4;1;Main
118;GÇrer les rÇfÇrences produits standardiser ou diversifier: lamÇthode diversitÇ (ED ORGANISATION);Book ;ISBN: 2708130072ISBN_13: 9782708130074;GI 12006B4;1;Main
119;L'univers ÇlÇgant (French Edition) ;Book ;ISBN: 2221090659ISBN_13: 9782221090657;FR16150B5;1;Main
120;Profils et pratiques d'entrepreneurs camerounais:ExpÇriences et tÇmoignages (DiversitÇ culturelle et dynamiquedes organisations) (French Edition);Book ;ISBN: 2343037310ISBN_13: 9782343037318;BU14005B4;1;Main
121;elÇments de micro-Çconomie. thÇorie et applications - 8ämeÇdition (PRêCIS DOMAT);Book ;ISBN: 2707617326ISBN_13: 9782707617323;EF 10008B3;1;Main
122;Feedback Control of Dynamic Systems, Global Edition[Paperback] [Jan 01, 2014] Gene F. Franklin, Abbas EmamiNaeini J. Da Powell;Book ;ISBN: 1292068906ISBN_13: 9781292068909;PH 1857B1;1;Main
123;Les guerres d'Afrique: Des origines Ö nos jours (Documents)(French Edition);Book ;ISBN: 2268075311ISBN_13: 9782268075310;HP20047B8;1;Main
124;êlÇments de physique statistique (Les cours) (French Edition) ;Book ;ISBN: 2722509482ISBN_13: 9782722509481;PH 1806B1;1;Main
? 04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:2 2/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
125;Les Libertins Baroques T03 (Ldp Bib.Essais) (French Edition) ;Book ;ISBN: 2253084441ISBN_13: 9782253084440;FR16134B5;1;Main
126;Les Sagesses Antiques T01 (Ldp Bib.Essais) (French Edition) ;Book ;ISBN: 2253083844ISBN_13: 9782253083849;PI 21013B8;1;Main
127;la femme de gilles babel 19 ;Book ;ISBN: 2742790098ISBN_13: 9782742790098;FR16062B5;1;Main
128;Les Noces fabuleuses du Polonais (Best) (French Edition) ;Book ;ISBN: 2266267299ISBN_13: 9782266267298;FR16136B5;7;Main
129;Mesurer le monde: 1792-1799 : l'incroyable histoire del'invention du mätre (Sciences) (French Edition);Book ;ISBN: 2082103285ISBN_13: 9782082103282;HP20058B8;1;Main
130;Fluid Mechanics 8e In SI Units ;Book ;ISBN: 9814720178ISBN_13: 9789814720175;PH 253B1;1;Main
131;Le Metier d'Intellectuel: Dialogues avec Quinze Penseurs duMaroc;Book ;ISBN: 9954331646ISBN_13: 9789954331644;HP20040B8;1;Main
132;Ordinary Differential Equations (Universitext) ;Book ;ISBN: 3540345639ISBN_13: 9783540345633;MA 6065B3;2;Main
133;Zero To One ;Book ;ISBN: 0753555204ISBN_13: 9780753555200;DP19092B7;1;Main
134;The fountainhead ;Book ;ISBN_13: 9780141188621 ;LA 17074B5;1;Main
135;PHP 7 : DÇveloppez un site web dynamique et interactif ;Book ;ISBN: 2746099241ISBN_13: 9782746099241;IT 8016B3;1;Main
136;Les quatre accords toltäques : La voie de la libertÇ personnelle(Poche: la voie de la libertÇ personnelle) (French Edition);Book ;ISBN: 2889116549ISBN_13: 9782889116546;DP19047B7;1;Main
137;La communication efficace - 4e Çd. - AcquÇrir maåtrise etconfiance en soi: AcquÇrir maåtrise et confiance en soi(EfficacitÇ professionnelle) (French Edition);Book ;ISBN: 2100556150ISBN_13: 9782100556151;DP19034B7;1;Main
138;Time Series: Theory and Methods (Springer Series inStatistics);Book ;ISBN: 1441903194ISBN_13: 9781441903198;MA 6089B3;1;Main
? 04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:2 3/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
139;Mathematical Elasticity, Volume 2: Theory of Plates (Studies inMathematics and its Application);Book ;ISBN: 0444825703ISBN_13: 9780444825704;MA 6051B3;1;Main
140;MÇthode des ÇlÇments finis ;Book ;ISBN: 274624666XISBN_13: 9782746246669;MA 6052B3;1;Main
141;MÇcanique des fluides ;Book ;ISBN: 2854289293ISBN_13: 9782854289299;PH 257B1;1;Main
142;Initiation Ö l?analyse complexe - Cours et exercices corrigÇs(RÇfÇrences sciences);Book ;ISBN: 2340002133ISBN_13: 9782340002135;MA 6040B3;2;Main
143;Comment Se Faire Des Amis (Le Livre de Poche) (FrenchEdition);Book ;ISBN: 2253009105ISBN_13: 9782253009108;DP19010B7;2;Main
144;Le theoreme du perroquet (Points) (French Edition) ;Book ;ISBN: 2020427850ISBN_13: 9782020427852;FR16111B5;2;Main
145;Le Gout De Vivre (Documents) (French Edition) ;Book ;ISBN: 2253166596ISBN_13: 9782253166597;FR16090B5;1;Main
146;le temps existe-t-il ;Book ;ISBN: 2746500183ISBN_13: 9782746500181;PI 21012B8;2;Main
147;Psychopathologie de la vie quotidienne (Petite BibliothäquePayot) (French Edition);Book ;ISBN: 2228894028ISBN_13: 9782228894029;FR16173B5;1;Main
148;Nouvelle Alliance (Folio Essais) (French Edition) ;Book ;ISBN: 2070323242ISBN_13: 9782070323241;FR16164B5;1;Main
149;The power of habit : why we do what we do and how tochange;Book ;ISBN_13: 9781847946249 ;DP19084B7;1;Main
150;L'Eudemonisme social T05 (Ldp Bib.Essais) (French Edition) ;Book ;ISBN: 2253084549ISBN_13: 9782253084549;PI 21009B8;1;Main
151;Critique de la raison pure: TRADUCTION ET PRESENTATIONPAR ALAIN RENAUT (Philosophie) (French Edition);Book ;ISBN: 2080713043ISBN_13: 9782080713049;PI 21005B8;1;Main
152;êtudes d'histoire de la pensÇe philosophique (Tel) (FrenchEdition);Book ;ISBN: 2070239810ISBN_13: 9782070239818;HP20007B8;2;Main
? 04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:2 4/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
153;Les prodigieuses victoires de la psychologie ;Book ;ISBN: 2501026934ISBN_13: 9782501026932;SH18027B6;1;Main
154;Introduction to the Mathematics of Finance: From RiskManagement to Options Pricing (Undergraduate Texts inMathematics);Book ;ISBN: 0387213643ISBN_13: 9780387213644;MA 6045B3;1;Main
155;Les Arabes et l'art du re?cit : une e?trange familiarite? ;Book ;ISBN: 2742781102ISBN_13: 9782742781102;FR16120B5;1;Main
156;The Theory of Incentives: The Principal-Agent Model ;Book ;ISBN: 0691091846ISBN_13: 9780691091846;EF 10021B3;3;Main
157;The 7 Habits of Highly Effective People ;Book ;ISBN: 147112939XISBN_13: 9781471129391;DP19079B7;1;Main
158;Qu'est ce que l'Çnergie nuclÇaire ? (BULLES DE SCIENCES)(French Edition);Book ;ISBN: 2759804305ISBN_13: 9782759804306;EN 3009B2;1;Main
159;LES SCIENCES ARABES EN AFRIQUE (Manuscrits du dÇsert)(French Edition);Book ;ISBN: 2909550761ISBN_13: 9782909550763;SH18028B6;1;Main
160;Islamic Science and the Making of the European Renaissance(Transformations: Studies in the History of Science andTechnology);Book ;ISBN: 0262516152ISBN_13: 9780262516150;HP20019B8;1;Main
161;Creativity, Inc. Overcoming the Unseen Forces That Stand inthe Way of True Inspiration;Book ;ISBN: 0593070100ISBN_13: 9780593070109;DP19011B7;1;Main
162;Martingale Methods in Financial Modelling (StochasticModelling and Applied Probability (36));Book ;ISBN: 3764359838ISBN_13: 9783540209669;EF 10016B3;1;Main
163;La Boåte Ö outils de la gestion du stress (BÖO La Boåte Ö Outils)(French Edition);Book ;ISBN: 2100758322ISBN_13: 9782100758326;DP19029B7;1;Main
164;S'organiser pour rÇussir (Alisio) ;Book ;ISBN: 2848992093ISBN_13: 9782848992099;DP19072B7;1;Main
165;La Boåte Ö outils de la Gestion des conflits (BÖO La Boåte ÖOutils);Book ;ISBN: 2100754734ISBN_13: 9782100754731;DP19028B7;1;Main
? 04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:2 5/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
166;The Theory of Industrial Organization (The MIT Press) ;Book ;ISBN: 0262200716ISBN_13: 9780262200714;GI 12025B4;3;Main
167;Advanced Macroeconomics (The Mcgraw-hill Series inEconomics);Book ;ISBN: 0073511374ISBN_13: 9780073511375;EF 10001B3;1;Main
168;Le Chaos - Poche (POCHE - Le Pommier) (French Edition) ;Book ;ISBN: 2746501597ISBN_13: 9782746501591;FR16084B5;1;Main
169;Les Dieux Voyagent Toujours Incognito (Best) (French Edition) ;Book ;ISBN: 2266219154ISBN_13: 9782266219150;FR16128B5;1;Main
